file,bonus,alpha,gamma,candidate_false,top_false,none_original_proposer_risk,none_original_proposer_yield,none_original_proposer_reward,global_candidate_cp_risk,global_candidate_cp_yield,global_candidate_cp_reward,reward_bin_ucb_20_risk,reward_bin_ucb_20_yield,reward_bin_ucb_20_reward,rank_bin_ucb_risk,rank_bin_ucb_yield,rank_bin_ucb_reward,crc_style_safety_threshold_risk,crc_style_safety_threshold_yield,crc_style_safety_threshold_reward,accs_v0_support_safety_risk,accs_v0_support_safety_yield,accs_v0_support_safety_reward,oracle_residual_label_risk,oracle_residual_label_yield,oracle_residual_label_reward
phase_dsrl_car_calib_bonus0p0_alpha0p05_gamma0p02.json,0.0,0.05,0.02,0.102328125,0.11425,0.11425,1.0,0.6983316540718079,0.0,0.049416666666666664,0.6824356913566589,0.009523809523809525,0.21,0.6856490969657898,0.0,0.0,0.6821900010108948,0.020588969303718493,0.6678333333333333,0.6929588317871094,0.014808362369337979,0.574,0.6896327137947083,0.0,0.99875,0.6975062489509583
phase_dsrl_car_calib_bonus0p0_alpha0p05_gamma0p05.json,0.0,0.05,0.05,0.102328125,0.11425,0.11425,1.0,0.6983316540718079,0.0,0.049416666666666664,0.6824356913566589,0.009523809523809525,0.21,0.6856490969657898,0.0,0.0,0.6821900010108948,0.020588969303718493,0.6678333333333333,0.6929588317871094,0.014808362369337979,0.574,0.6896327137947083,0.0,0.99875,0.6975062489509583
phase_dsrl_car_calib_bonus0p0_alpha0p05_gamma0p10.json,0.0,0.05,0.1,0.102328125,0.11425,0.11425,1.0,0.6983316540718079,0.0,0.049416666666666664,0.6824356913566589,0.009523809523809525,0.21,0.6856490969657898,0.0,0.0,0.6821900010108948,0.020588969303718493,0.6678333333333333,0.6929588317871094,0.014808362369337979,0.574,0.6896327137947083,0.0,0.99875,0.6975062489509583
phase_dsrl_car_calib_bonus0p0_alpha0p10_gamma0p02.json,0.0,0.1,0.02,0.102328125,0.11425,0.11425,1.0,0.6983316540718079,0.0,0.049416666666666664,0.6824356913566589,0.05353988313629569,0.61325,0.6936625838279724,0.0,0.0,0.6821900010108948,0.0722771379341616,0.9189166666666667,0.6971861720085144,0.06729589428975932,0.8829166666666667,0.6947681307792664,0.0,0.99875,0.6975062489509583
phase_dsrl_car_calib_bonus0p0_alpha0p10_gamma0p05.json,0.0,0.1,0.05,0.102328125,0.11425,0.11425,1.0,0.6983316540718079,0.0,0.049416666666666664,0.6824356913566589,0.05353988313629569,0.61325,0.6936625838279724,0.0,0.0,0.6821900010108948,0.0722771379341616,0.9189166666666667,0.6971861720085144,0.06729589428975932,0.8829166666666667,0.6947681307792664,0.0,0.99875,0.6975062489509583
phase_dsrl_car_calib_bonus0p0_alpha0p10_gamma0p10.json,0.0,0.1,0.1,0.102328125,0.11425,0.11425,1.0,0.6983316540718079,0.0,0.049416666666666664,0.6824356913566589,0.05353988313629569,0.61325,0.6936625838279724,0.0,0.0,0.6821900010108948,0.0722771379341616,0.9189166666666667,0.6971861720085144,0.06729589428975932,0.8829166666666667,0.6947681307792664,0.0,0.99875,0.6975062489509583
phase_dsrl_car_calib_bonus0p5_alpha0p05_gamma0p02.json,0.5,0.05,0.02,0.10379166666666667,0.11308333333333333,0.11308333333333333,1.0,0.6177369952201843,0.05040885040885041,0.86625,0.6152181625366211,0.030515863405182853,0.34408333333333335,0.6062663793563843,0.0,0.0,0.6000171899795532,0.01822354211663067,0.6173333333333333,0.6088156700134277,0.016436363636363638,0.5729166666666666,0.6066432595252991,0.0,0.9985833333333334,0.6166402697563171
phase_dsrl_car_calib_bonus0p5_alpha0p05_gamma0p05.json,0.5,0.05,0.05,0.10379166666666667,0.11308333333333333,0.11308333333333333,1.0,0.6177369952201843,0.05040885040885041,0.86625,0.6152181625366211,0.030515863405182853,0.34408333333333335,0.6062663793563843,0.0,0.0,0.6000171899795532,0.01822354211663067,0.6173333333333333,0.6088156700134277,0.016436363636363638,0.5729166666666666,0.6066432595252991,0.0,0.9985833333333334,0.6166402697563171
phase_dsrl_car_calib_bonus0p5_alpha0p05_gamma0p10.json,0.5,0.05,0.1,0.10379166666666667,0.11308333333333333,0.11308333333333333,1.0,0.6177369952201843,0.05040885040885041,0.86625,0.6152181625366211,0.030515863405182853,0.34408333333333335,0.6062663793563843,0.0,0.0,0.6000171899795532,0.01822354211663067,0.6173333333333333,0.6088156700134277,0.016436363636363638,0.5729166666666666,0.6066432595252991,0.0,0.9985833333333334,0.6166402697563171
phase_dsrl_car_calib_bonus0p5_alpha0p10_gamma0p02.json,0.5,0.1,0.02,0.10379166666666667,0.11308333333333333,0.11308333333333333,1.0,0.6177369952201843,0.09374459996543978,0.9645,0.6172845959663391,0.042422511069847166,0.5834166666666667,0.6105097532272339,0.0,0.0,0.6000171899795532,0.07171423377567715,0.9168333333333333,0.6162859201431274,0.06604932438816971,0.8819166666666667,0.6140618324279785,0.0,0.9985833333333334,0.6166402697563171
phase_dsrl_car_calib_bonus0p5_alpha0p10_gamma0p05.json,0.5,0.1,0.05,0.10379166666666667,0.11308333333333333,0.11308333333333333,1.0,0.6177369952201843,0.09374459996543978,0.9645,0.6172845959663391,0.042422511069847166,0.5834166666666667,0.6105097532272339,0.0,0.0,0.6000171899795532,0.07171423377567715,0.9168333333333333,0.6162859201431274,0.06604932438816971,0.8819166666666667,0.6140618324279785,0.0,0.9985833333333334,0.6166402697563171
phase_dsrl_car_calib_bonus0p5_alpha0p10_gamma0p10.json,0.5,0.1,0.1,0.10379166666666667,0.11308333333333333,0.11308333333333333,1.0,0.6177369952201843,0.09374459996543978,0.9645,0.6172845959663391,0.042422511069847166,0.5834166666666667,0.6105097532272339,0.0,0.0,0.6000171899795532,0.07171423377567715,0.9168333333333333,0.6162859201431274,0.06604932438816971,0.8819166666666667,0.6140618324279785,0.0,0.9985833333333334,0.6166402697563171
