seed,candidate_false,top_selected_false,audit_candidate_false,audit_top_selected_false,method,risk,yield,reward,fallback,episode_violation,file
20260624,0.04127083333333333,0.06333333333333334,0.044925347222222224,0.08433333333333333,none_original_proposer,0.06333333333333334,1.0,0.617117702960968,0.0,0.06333333333333334,phase_dsrl_car_capsstyle_k64_q93_bonus05_server.json
20260624,0.04127083333333333,0.06333333333333334,0.044925347222222224,0.08433333333333333,global_candidate_cp,0.06045107738744026,0.9939166666666667,0.6157288551330566,0.006083333333333333,0.06375,phase_dsrl_car_capsstyle_k64_q93_bonus05_server.json
20260624,0.04127083333333333,0.06333333333333334,0.044925347222222224,0.08433333333333333,reward_bin_ucb_20,0.03398058252427184,0.8926666666666667,0.5831530690193176,0.10733333333333334,0.037333333333333336,phase_dsrl_car_capsstyle_k64_q93_bonus05_server.json
20260624,0.04127083333333333,0.06333333333333334,0.044925347222222224,0.08433333333333333,rank_bin_ucb,0.02725,1.0,0.5245037078857422,0.0,0.02725,phase_dsrl_car_capsstyle_k64_q93_bonus05_server.json
20260624,0.04127083333333333,0.06333333333333334,0.044925347222222224,0.08433333333333333,crc_style_safety_threshold,0.019943318988138975,0.7939166666666667,0.5829160213470459,0.20608333333333334,0.050833333333333335,phase_dsrl_car_capsstyle_k64_q93_bonus05_server.json
20260624,0.04127083333333333,0.06333333333333334,0.044925347222222224,0.08433333333333333,accs_v0_support_safety,0.01776622251110389,0.76925,0.5815088152885437,0.23075,0.050583333333333334,phase_dsrl_car_capsstyle_k64_q93_bonus05_server.json
20260624,0.04127083333333333,0.06333333333333334,0.044925347222222224,0.08433333333333333,oracle_residual_label,0.0,1.0,0.6168379783630371,0.0,0.0,phase_dsrl_car_capsstyle_k64_q93_bonus05_server.json
20260625,0.04426432291666667,0.07783333333333334,0.04373958333333333,0.07477777777777778,none_original_proposer,0.07783333333333334,1.0,0.6201087832450867,0.0,0.07783333333333334,phase_dsrl_car_capsstyle_k64_q93_bonus05_seed20260625_server.json
20260625,0.04426432291666667,0.07783333333333334,0.04373958333333333,0.07477777777777778,global_candidate_cp,0.0,0.09741666666666667,0.541823148727417,0.9025833333333333,0.04566666666666667,phase_dsrl_car_capsstyle_k64_q93_bonus05_seed20260625_server.json
20260625,0.04426432291666667,0.07783333333333334,0.04373958333333333,0.07477777777777778,reward_bin_ucb_20,0.049148282602624965,0.89525,0.5870518684387207,0.10475,0.05308333333333334,phase_dsrl_car_capsstyle_k64_q93_bonus05_seed20260625_server.json
20260625,0.04426432291666667,0.07783333333333334,0.04373958333333333,0.07477777777777778,rank_bin_ucb,0.0325,1.0,0.5435846447944641,0.0,0.0325,phase_dsrl_car_capsstyle_k64_q93_bonus05_seed20260625_server.json
20260625,0.04426432291666667,0.07783333333333334,0.04373958333333333,0.07477777777777778,crc_style_safety_threshold,0.033517388356098035,0.86025,0.5915107131004333,0.13975,0.0595,phase_dsrl_car_capsstyle_k64_q93_bonus05_seed20260625_server.json
20260625,0.04426432291666667,0.07783333333333334,0.04373958333333333,0.07477777777777778,accs_v0_support_safety,0.02511724856696196,0.7995833333333333,0.5839418768882751,0.20041666666666666,0.05775,phase_dsrl_car_capsstyle_k64_q93_bonus05_seed20260625_server.json
20260625,0.04426432291666667,0.07783333333333334,0.04373958333333333,0.07477777777777778,oracle_residual_label,0.0,1.0,0.6198468208312988,0.0,0.0,phase_dsrl_car_capsstyle_k64_q93_bonus05_seed20260625_server.json
20260626,0.037036458333333334,0.064,0.04159201388888889,0.06788888888888889,none_original_proposer,0.064,1.0,0.6068202257156372,0.0,0.064,phase_dsrl_car_capsstyle_k64_q93_bonus05_seed20260626_server.json
20260626,0.037036458333333334,0.064,0.04159201388888889,0.06788888888888889,global_candidate_cp,0.0008278145695364238,0.10066666666666667,0.5266572833061218,0.8993333333333333,0.03933333333333333,phase_dsrl_car_capsstyle_k64_q93_bonus05_seed20260626_server.json
20260626,0.037036458333333334,0.064,0.04159201388888889,0.06788888888888889,reward_bin_ucb_20,0.03672290895966796,0.9235833333333333,0.5735684633255005,0.07641666666666666,0.041416666666666664,phase_dsrl_car_capsstyle_k64_q93_bonus05_seed20260626_server.json
20260626,0.037036458333333334,0.064,0.04159201388888889,0.06788888888888889,rank_bin_ucb,0.028,1.0,0.5331359505653381,0.0,0.028,phase_dsrl_car_capsstyle_k64_q93_bonus05_seed20260626_server.json
20260626,0.037036458333333334,0.064,0.04159201388888889,0.06788888888888889,crc_style_safety_threshold,0.021120386201347683,0.8285833333333333,0.5773521065711975,0.17141666666666666,0.048,phase_dsrl_car_capsstyle_k64_q93_bonus05_seed20260626_server.json
20260626,0.037036458333333334,0.064,0.04159201388888889,0.06788888888888889,accs_v0_support_safety,0.01787404058458627,0.7925833333333333,0.5748958587646484,0.20741666666666667,0.04841666666666666,phase_dsrl_car_capsstyle_k64_q93_bonus05_seed20260626_server.json
20260626,0.037036458333333334,0.064,0.04159201388888889,0.06788888888888889,oracle_residual_label,0.0,1.0,0.6065647602081299,0.0,0.0,phase_dsrl_car_capsstyle_k64_q93_bonus05_seed20260626_server.json
