key,title,year,venue_status,category,threat_level,reuse_value,url
CAPS,"Constraint-Adaptive Policy Switching for Offline Safe Reinforcement Learning",2025,"AAAI 2025",direct_competitor,critical,"Primary baseline; public code; DSRL protocol","https://ojs.aaai.org/index.php/AAAI/article/view/33726"
AEGIS,"Almost Surely Safe Offline Reinforcement Learning",2026,"ICLR 2026 submission",direct_competitor,critical,"Feasibility critic framing; diffusion-policy comparison","https://openreview.net/forum?id=jLgGlHj30G"
BCRL,"Beyond Hard Constraints: Budget-Conditioned Reachability For Safe Offline Reinforcement Learning",2026,"arXiv / ICAPS 2026",direct_competitor,high,"Budget-conditioned reachability language and baselines","https://arxiv.org/abs/2603.22292"
RPS,"Robust Probabilistic Shielding for Safe Offline Reinforcement Learning",2026,"arXiv",shielding_competitor,high,"Shielding assumptions and robust-safety evaluation","https://arxiv.org/abs/2605.10293"
TraC,"Offline Safe Reinforcement Learning Using Trajectory Classification",2025,"AAAI 2025",osrl_algorithm,medium,"AAAI-level OSRL baseline; DSRL protocol details","https://ojs.aaai.org/index.php/AAAI/article/view/33855"
WSAC,"Adversarially Trained Weighted Actor-Critic for Safe Offline Reinforcement Learning",2024,"NeurIPS 2024",osrl_algorithm,medium,"Strong offline safe RL baseline and theory contrast","https://openreview.net/forum?id=82Ndsr4OS6"
O3SRL,"Online Optimization for Offline Safe Reinforcement Learning",2025,"NeurIPS 2025",osrl_algorithm,medium,"Optimization-theory baseline; possible upper-level comparison","https://openreview.net/forum?id=e85xf2d17F"
TREBI,"Safe Offline Reinforcement Learning with Real-Time Budget Constraints",2023,"ICML 2023",budget_conditioned_prior,high,"Real-time budget-conditioned setting and code","https://arxiv.org/abs/2306.00603"
CSS,"Conformal Safety Shielding for Imperfect-Perception Agents",2025,"arXiv / RV 2025",conformal_shielding,high,"Conformal shielding closest prior outside OSRL budgets","https://arxiv.org/abs/2506.17275"
CPSF,"Conformal Predictive Safety Filter for Reinforcement Learning Controllers in Dynamic Environments",2023,"IEEE RA-L",conformal_safety_filter,medium,"Conformal safety-filter theory framing","https://arxiv.org/abs/2306.02551"
DSRL,"Datasets and Benchmarks for Offline Safe Reinforcement Learning",2023,"benchmark",benchmark,critical,"Main benchmark suite; 38 tasks; OSRL integration","https://www.offline-saferl.org/"
OSRL,"OSRL codebase",2023,"GitHub",codebase,critical,"Baseline implementations and evaluation harness","https://github.com/liuzuxin/OSRL"
SafetyGymnasium,"Safety-Gymnasium: A Unified Safe Reinforcement Learning Benchmark",2023,"NeurIPS Datasets and Benchmarks / arXiv",benchmark,high,"Main environment suite and SafePO algorithms","https://github.com/PKU-Alignment/safety-gymnasium"
FISOR,"Feasibility-Guided Diffusion Model for Offline Safe Reinforcement Learning",2024,"ICLR 2024",osrl_algorithm,medium,"Diffusion feasibility baseline and Safety-Gymnasium scripts","https://github.com/ZhengYinan-AIR/FISOR"
CAPS_CODE,"Constraint-Adaptive Policy Switching code",2025,"GitHub",codebase,critical,"Direct competitor implementation to port into OSRL branch","https://github.com/yassineCh/CAPS"
SafeFQL,"Safe Flow Q-Learning: Offline Safe Reinforcement Learning with Reachability-Based Flow Policies",2026,"arXiv / OpenReview",direct_competitor,critical,"Reachability-style safe action selection plus conformal safety-boundary calibration","https://arxiv.org/abs/2603.15136"
CAP_SELECTIVE,"CAP: A General Algorithm for Online Selective Conformal Prediction with FCR Control",2025,"arXiv",theory_support,critical,"Post-selection conformal/FCR control; closest statistical tool for ACCS redesign","https://arxiv.org/abs/2403.07728"
COND_LIMITS,"The limits of distribution-free conditional predictive inference",2020,"arXiv",theory_support,high,"Conditional-coverage impossibility; needed to phrase group/action validity honestly","https://arxiv.org/abs/1903.04684"
OFFPOLICY_CP,"Conformal Off-Policy Evaluation in Markov Decision Processes",2023,"CDC / arXiv",theory_support,high,"Policy-specific residual-cost target and off-policy conformal caveat","https://arxiv.org/abs/2304.02574"
CRC,"Conformal Risk Control",2025,"arXiv",theory_support,high,"Risk-control baseline for false certification among issued claims","https://arxiv.org/abs/2208.02814"
